tt,ID,journal,IF,year,geo,h_index,citation,wcitation,plum1,plum2,plum3,study_design,type_random,concealment,blinding,topic,power_just,pval_rep,outcome,statistician,funding
bbd,23434,The Turkish Journal of Pediatrics,0.339,2018,Turkey,6.0,0.0,0.0,0.0,0.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,58335,Iranian Journal of Medical Sciences,0.392,2008,Iran,4.0,1.0,0.0,0.0,2.0,0.0,RCT,Simple,No,No,Nocturnal Enuresis,No,0.008,Secondary,No,No
bbd,30219,Pediatric Nephrology,2.816,2005,China,27.0,25.0,1.22,356.0,20.0,0.0,RCT,Simple,Yes,No,Nocturnal Enuresis,Yes,0.014,Primary,No,No
bbd,31717,Pediatric Nephrology,2.816,2008,Italy,22.0,26.0,1.13,830.0,44.0,0.0,RCT,Not Stated,No,No,Nocturnal Enuresis,Yes,0.001,Primary,No,No
bbd,35588,Clinical Pediatrics,1.409,2009,USA,7.0,6.0,0.5,127.0,12.0,0.0,RCT,Blocked,Yes,Yes,Nocturnal Enuresis,Yes,0.033,Primary,Yes,Yes
bbd,34443,Journal of Urology,5.157,2003,USA,2.0,50.0,1.33,24.0,40.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,Yes,Yes
bbd,35779,Pediatric Nephrology,2.816,2011,Italy,16.0,17.0,0.82,2409.0,78.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.04,Primary,No,No
bbd,35089,Journal of Urology,5.157,2014,Turkey,11.0,18.0,1.64,85.0,56.0,3.0,RCT,electronic,Yes,Yes,Nocturnal Enuresis,Yes,0.001,Primary,Yes,No
bbd,60784,INDIAN PEDIATRICS,1.163,2009,Iran,14.0,9.0,0.67,0.0,0.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.001,Primary,No,No
bbd,43750,Journal of Urology,5.157,2010,Denmark,13.0,22.0,0.51,91.0,50.0,2.0,RCT,Not Stated,Not specified,Not specified,Incontinence,Yes,0.001,Primary,No,Yes
bbd,34906,Eur Urol,13.994,2000,Japan,9.0,26.0,1.42,13.0,10.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.007,Secondary,No,No
bbd,35767,Journal of Urology,5.157,2011,Belgium,44.0,20.0,0.86,98.0,52.0,0.0,Other,NA,NA,NA,Incontinence,No,0.0001,Primary,Yes,No
bbd,26279,Journal of Urology,5.157,1993,USA,38.0,40.0,0.0,0.0,8.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,791,Eur Arch Otorhinolaryngol,1.683,2017,Turkey,4.0,2.0,0.71,62.0,13.0,2.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.007,Primary,No,No
bbd,35747,Journal of Urology,5.157,2011,Turkey,8.0,15.0,0.86,230.0,48.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,68091,Therapeutic Advances in Urology,1.26,2017,USA,12.0,3.0,0.27,31.0,19.0,1.0,Other,NA,NA,NA,rUTI,No,0.0001,Primary,No,No
bbd,30945,Urology,2.365,2007,Turkey,9.0,16.0,0.84,181.0,11.0,0.0,RCT,NA,NA,NA,Dysfunctional voiding,No,0.04,Primary,No,No
bbd,43635,Urology,2.365,2010,Turkey,15.0,20.0,0.64,283.0,32.0,0.0,RCT,Not Stated,Not specified,Not specified,Dysfunctional voiding,No,0.04,Primary,No,No
bbd,69413,ISRN Urology,0.387,2013,Iran,0.0,4.0,0.0,0.0,0.0,0.0,RCT,Simple,Yes,Yes,Nocturnal Enuresis,No,0.049,Primary,No,No
bbd,34925,Scand J Urol Nephrol,1.401,2000,Turkey,1.0,3.0,0.14,102.0,7.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,3228,Journal of pediatric urology,1.736,2018,Russia,9.0,0.0,0.0,15.0,7.0,15.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,6894,Journal of pediatric urology,1.736,2015,Russia,9.0,6.0,0.94,46.0,16.0,1.0,RCT,Simple,Not specified,Yes,Nocturnal Enuresis,No,0.04,Primary,No,No
bbd,16898,Pediatria i Medycyna Rodzinna,0.8,2017,Poland,3.0,0.0,0.0,38.0,3.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.04,Primary,No,No
bbd,27569,Urology,2.365,2015,Iran,24.0,13.0,1.21,189.0,139.0,0.0,RCT,Blocked,Yes,Yes,Dysfunctional voiding,Yes,0.001,Secondary,No,No
bbd,45804,Eur J Pediatr,2.24,2014,Iran,6.0,14.0,0.9,1476.0,159.0,1.0,RCT,Blocked,Yes,Yes,Dysfunctional voiding,No,0.01,Primary,No,No
bbd,23065,Journal of Child Psychology and Psychiatry and Allied Disciplines,6.129,1990,Finland,30.0,52.0,0.0,220.0,262.0,0.0,Other,NA,NA,NA,Incontinence,No,0.004,Secondary,No,No
bbd,34770,Medicine,2.133,1998,Israel,19.0,19.0,0.91,21.0,2.0,0.0,RCT,Not Stated,Not specified,Yes,Nocturnal Enuresis,Yes,0.012,Primary,Yes,Yes
bbd,24930,BJU international,4.524,2015,Iran,24.0,16.0,2.29,152.0,87.0,3.0,RCT,Blocked,Yes,Not specified,voiding postponement,Yes,0.006,Primary,No,No
bbd,35210,Pediatric Nephrology,2.816,2015,Iran,24.0,10.0,0.98,480.0,77.0,1.0,RCT,Blocked,Yes,Yes,Nocturnal Enuresis,Yes,0.01,Primary,No,No
bbd,27398,Scand J Urol Nephrol,1.401,2015,Turkey,5.0,1.0,0.12,61.0,13.0,0.0,Other,NA,NA,NA,Incontinence,No,0.01,Primary,No,No
bbd,35618,Journal of Urology,5.157,2009,Germany,33.0,21.0,2.05,136.0,31.0,0.0,Other,NA,NA,NA,Incontinence,No,0.05,Secondary,No,No
bbd,43614,Journal of Urology,5.157,2010,Netherlands,5.0,11.0,0.64,92.0,28.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.0001,Primary,No,No
bbd,40,J Ped Surgery,1.733,2018,Iran,24.0,1.0,2.87,39.0,11.0,1.0,RCT,Blocked,Yes,No,Incontinence,Yes,0.01,Primary,No,No
bbd,44146,Journal of Urology,5.157,2010,Brazil,17.0,56.0,2.06,96.0,170.0,0.0,RCT,Simple,Yes,Yes,OAB,No,0.01,Primary,No,Yes
bbd,578,Pediatrics international,0.731,2017,China,10.0,0.0,0.0,174.0,12.0,1.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.007,Primary,No,Yes
bbd,17852,Pak J Med Sci,0.719,2017,China,10.0,1.0,0.0,307.0,21.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,1e-06,Primary,No,Yes
bbd,16174,International Journal of Clinical and Experimental Medicine,1.069,2018,China,10.0,0.0,0.0,0.0,0.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.003,Primary,No,Yes
bbd,2978,Journal of pediatric urology,1.736,2019,China,10.0,0.0,0.0,0.0,5.0,5.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.026,Secondary,No,Yes
bbd,2332,International Braz J Urol,1.097,2019,China,10.0,0.0,0.0,0.0,6.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.002,Primary,No,Yes
bbd,35008,Academic pediatrics,2.007,2013,USA,11.0,21.0,1.91,414.0,73.0,2.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.006,Primary,Yes,Yes
bbd,6577,Iranian Journal of Pediatrics,0.587,2009,Iran,6.0,3.0,0.17,0.0,0.0,0.0,RCT,Not Stated,Not specified,Yes,Nocturnal Enuresis,No,0.04,Primary,No,Yes
bbd,35838,BJU international,4.524,2012,Italy,10.0,17.0,0.69,294.0,8.0,4.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.01,Secondary,No,No
bbd,35847,Arch Iran Med,1.2,2012,Iran,6.0,18.0,1.14,0.0,23.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,21436,CMAJ,6.8,1984,Canada,20.0,8.0,0.0,0.0,6.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.05,Primary,No,No
bbd,48843,BJU international,4.524,1998,Sweden,34.0,21.0,1.66,138.0,20.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,27543,Journal of Urology,5.157,2015,Turkey,12.0,19.0,2.02,168.0,47.0,3.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,Yes,0.006,Primary,No,No
bbd,35081,Pediatric Nephrology,2.816,2014,Korea,10.0,10.0,1.12,387.0,29.0,3.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.002,Primary,No,Yes
bbd,28003,Journal of pediatric urology,1.736,2015,India,19.0,15.0,2.05,74.0,141.0,0.0,RCT,Not Stated,Not specified,Yes,OAB,No,0.001,Primary,No,No
bbd,3246,Journal of pediatric urology,1.736,2018,Iran,11.0,1.0,0.61,32.0,13.0,6.0,RCT,Blocked,Yes,Yes,Nocturnal Enuresis,Yes,0.03,Primary,No,Yes
bbd,31539,INDIAN PEDIATRICS,1.163,2008,India,8.0,4.0,0.0,0.0,0.0,0.0,Other,NA,NA,NA,rUTI,No,0.0006,Primary,No,No
bbd,35791,European Neurology,1.356,2012,Brazil,9.0,6.0,0.28,110.0,25.0,1.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,59422,Scand J Urol Nephrol,1.401,2009,Italy,22.0,52.0,2.7,2851.0,364.0,0.0,RCT,Not Stated,Not specified,Not specified,rUTI,No,0.05,Primary,No,No
bbd,34807,Urology,2.365,1999,Egypt,1.0,16.0,1.08,22.0,17.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.032,Primary,No,No
bbd,69809,Neuropsychiatric Disease and Treatment,1.741,2013,Italy,47.0,61.0,2.38,0.0,31.0,5.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,34240,Scand J Urol Nephrol,1.401,2001,Italy,22.0,9.0,0.15,110.0,13.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.05,Primary,No,No
bbd,24008,Developmental Medicine and Child Neurology,3.615,1991,Netherlands,3.0,18.0,0.0,22.0,4.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,19604,American journal of diseases of children,12.004,1971,USA,4.0,23.0,0.0,3.0,0.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,41142,Journal of Urology,5.157,2003,USA,31.0,54.0,2.94,6.0,16.0,0.0,Other,NA,NA,NA,Incontinence,No,0.01,Primary,No,No
bbd,35071,Neurourology and Urodynamics,2.36,2014,Denmark,37.0,15.0,0.96,39.0,27.0,2.0,Other,NA,NA,NA,Incontinence,No,0.001,Primary,No,Yes
bbd,34132,Journal of Urology,5.157,1995,USA,39.0,20.0,0.0,1.0,1.0,0.0,RCT,Not Stated,Not specified,Yes,Nocturnal Enuresis,No,0.002,Primary,No,Yes
bbd,66007,Turkish J Urol,0.624,2016,Turkey,6.0,3.0,0.43,303.0,31.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Secondary,No,No
bbd,22797,Journal of Urology,5.157,1989,Portugal,2.0,60.0,0.0,3.0,7.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.001,Primary,No,No
bbd,1112,Urology,2.365,2016,Iran,12.0,7.0,0.87,117.0,7.0,6.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,34688,Journal of Urology,5.157,1997,USA,28.0,47.0,3.46,7.0,2.0,0.0,RCT,Not Stated,Not specified,Yes,Nocturnal Enuresis,No,0.05,Primary,No,Yes
bbd,34187,Archives of disease in childhood,3.258,1996,England,1.0,32.0,1.59,7.0,7.0,0.0,RCT,Not Stated,Not specified,Yes,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,888,International Braz J Urol,1.046,2016,Brazil,2.0,0.0,0.0,847.0,26.0,0.0,Other,NA,NA,NA,OAB,No,0.001,Primary,No,No
bbd,44929,Archives of disease in childhood,3.258,2013,Turkey,17.0,0.0,0.0,355.0,38.0,1.0,Other,NA,NA,NA,rUTI,No,0.001,Primary,No,No
bbd,39623,Urology,2.365,1999,Turkey,19.0,40.0,1.29,7.0,4.0,0.0,Other,NA,NA,NA,OAB,No,0.01,Primary,No,No
bbd,31326,Journal of Urology,5.157,2008,China,8.0,19.0,1.22,70.0,23.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,35004,Indian journal of pediatrics,1.136,2012,India,1.0,14.0,1.39,66.0,18.0,4.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Secondary,No,No
bbd,30670,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,2.901,2006,USA,10.0,41.0,0.54,263.0,77.0,1.0,RCT,Not Stated,Not specified,Yes,Nocturnal Enuresis,No,0.042,Primary,Yes,Yes
bbd,30266,Journal of Urology,5.157,2005,Netherlands,31.0,39.0,1.85,3.0,24.0,0.0,RCT,Not Stated,Not specified,Not specified,Incontinence,No,0.01,Primary,No,Yes
bbd,527,Pediatric Nephrology,2.816,2017,Taiwan,17.0,4.0,0.73,459.0,71.0,13.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,Yes
bbd,34369,Scand J Urol Nephrol,1.401,2003,Turkey,18.0,8.0,0.0,169.0,24.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,34861,Urologia Internassi,1.508,2000,Turkey,15.0,9.0,0.36,56.0,0.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.05,Primary,No,No
bbd,44353,Journal of pediatric urology,1.736,2011,USA,24.0,18.0,1.44,105.0,95.0,2.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.05,Primary,No,No
bbd,34151,Neurourology and Urodynamics,2.36,1996,Slovenia,11.0,37.0,0.66,11.0,13.0,0.0,Other,NA,NA,NA,Incontinence,No,0.01,Primary,No,No
bbd,31080,Urology,2.365,2006,Greece,22.0,57.0,2.11,102.0,24.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,34852,Acta Pædiatrica,2.265,1999,Sweden,39.0,40.0,1.25,115.0,17.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.01,Primary,No,Yes
bbd,30687,Urologia Internassi,1.508,2006,Turkey,14.0,5.0,0.28,78.0,8.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.008,Secondary,No,No
bbd,31327,Journal of Urology,5.157,2008,Turkey,4.0,27.0,1.08,43.0,28.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.01,Primary,No,No
bbd,66731,archives disease in childhood,3.258,2013,Turkey,17.0,0.0,0.0,355.0,38.0,1.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.01,Primary,No,No
bbd,35585,journal of paediatrics,3.89,2008,Netherlands,22.0,10.0,0.67,922.0,141.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,Yes,0.01,Primary,Yes,Yes
bbd,644,Eur J Pediatr,2.24,2017,Netherlands,1.0,5.0,1.57,374.0,125.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.001,Primary,No,No
bbd,34471,Journal of Urology,5.157,2004,Belgium,13.0,25.0,0.44,46.0,26.0,0.0,Other,NA,NA,NA,Incontinence,No,0.01,Secondary,No,No
bbd,34111,Behaviour research and therapy,4.134,1995,Netherlands,4.0,15.0,0.0,94.0,49.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,34009,Behaviour research and therapy,4.134,1993,Netherlands,4.0,40.0,0.0,88.0,48.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,654,Urology,2.365,2017,Serbia,7.0,3.0,0.65,227.0,109.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.01,Primary,No,Yes
bbd,44730,The Journal of International Medical Research,1.351,2012,China,15.0,6.0,0.37,22.0,13.0,0.0,RCT,electronic,Not specified,Yes,Incontinence,No,0.012,Primary,No,No
bbd,34482,Journal of Urology,5.157,2004,Germany,33.0,30.0,0.88,50.0,38.0,0.0,Other,NA,NA,NA,Incontinence,No,0.001,Primary,No,No
bbd,28694,Jsaudi journal of kidney disease,0.284,2016,Iran,5.0,5.0,1.1,315.0,19.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,35856,Journal of the Formosan Medical Association,2.844,2013,Taiwan,5.0,13.0,1.11,157.0,49.0,1.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.05,Primary,No,Yes
bbd,6828,Journal of Urology,5.157,2012,Taiwan,26.0,5.0,0.55,125.0,23.0,1.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.015,Primary,No,Yes
bbd,58996,Journal of Developmental and Behavioral Pediatrics,2.393,2008,Belgium,10.0,10.0,0.28,3297.0,241.0,9.0,RCT,Simple,Yes,Yes,Incontinence,Yes,0.03,Primary,Yes,Yes
bbd,30660,Pediatric Nephrology,2.816,2006,Brazil,5.0,37.0,0.55,1515.0,191.0,0.0,RCT,electronic,Not specified,Not specified,Dysfunctional voiding,No,0.03,Primary,No,Yes
phn,1718,J Urol,5.157,2003,Canada,44.0,23.0,,,,,Other,NA,No,No,VUR,No,0.04,Primary,No,No
phn,1966,J Urol,5.157,2002,Canada,44.0,29.0,,,,,Other,NA,No,No,VUR,No,0.01,Primary,No,No
phn,1542,J Urol,5.157,2005,Canada,39.0,36.0,,,,,Other,NA,No,No,VUR,No,0.021,Primary,Yes,No
phn,456,International Urology Nephrology,1.692,2014,Turkey,5.0,4.0,,,,,Other,NA,No,No,VUR,No,0.034,Primary,No,No
phn,726,BJUI,4.387,2011,Turkey,22.0,78.0,,,,,Other,NA,No,No,Stones,No,0.05,Primary,No,No
phn,2145,BJUI,4.387,1999,Kuwait,14.0,1.0,,,,,RCT,Not Specified,No,No,Stones,No,0.05,Primary,No,No
phn,1088,International Urology Nephrology,1.692,2010,Turkey,9.0,16.0,,,,,RCT,Not Specified,No,No,Stones,No,0.002,Primary,No,No
phn,559,Urology,2.365,2013,Turkey,13.0,11.0,,,,,Other,NA,No,No,Stones,No,0.015,Secondary,No,No
phn,339,J Ped Urol,1.935,2015,Iran,12.0,11.0,,,,,Other,NA,No,No,UPJO,No,0.03,Primary,No,No
phn,1089,Urology,2.365,2011,India,34.0,41.0,,,,,RCT,Simple,No,No,Stones,No,0.006,Secondary,No,No
phn,617,J Ped Urol,1.935,2012,USA,6.0,21.0,,,,,Other,NA,No,No,UPJO,No,0.004,Primary,No,No
phn,1062,J Urol,5.157,2010,Iran,24.0,13.0,,,,,RCT,Simple,No,No,Stones,No,0.001,Primary,No,No
phn,904,J Ped Urol,1.935,2010,France,5.0,7.0,,,,,Other,NA,No,No,VUR,No,0.03,Secondary,No,No
phn,624,J Ped Urol,1.935,2012,Canada,21.0,4.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.01,Primary,No,No
phn,1379,J Urol,5.157,2007,Canada,32.0,37.0,,,,,Other,NA,No,No,UPJO,No,0.002,Primary,No,No
phn,1047,J Urol,5.157,2010,Sweden,31.0,171.0,,,,,RCT,Simple,No,No,VUR,No,0.003,Primary,Yes,Yes
phn,1049,J Urol,5.157,2010,Sweden,31.0,108.0,,,,,RCT,Simple,No,No,VUR,No,0.0015,Primary,Yes,Yes
phn,5,J Ped Urol,1.935,2016,Korea,2.0,2.0,,,,,Other,NA,No,No,VUR,No,0.05,Primary,No,No
phn,2374,J Urol,5.157,1997,Italy,16.0,11.0,,,,,Other,NA,No,No,VUR,No,0.05,Primary,No,No
phn,1905,Journal of pediatrics,3.89,2001,Italy,18.0,94.0,,,,,RCT,Blocked,Yes,Yes,VUR,Yes,0.029,Primary,No,No
phn,1510,Journal of endourology,2.038,2004,USA,21.0,62.0,,,,,Other,NA,No,No,UPJO,No,0.002,Primary,No,No
phn,612,J Ped Urol,1.935,2013,USA,15.0,4.0,,,,,Other,NA,No,No,VUR,No,0.001,Primary,Yes,No
phn,1979,Urology,2.365,2003,USA,25.0,17.0,,,,,Other,NA,No,No,VUR,No,0.004,Secondary,No,No
phn,5889,J Urol,5.157,1999,Israel,23.0,68.0,,,,,Other,NA,No,No,UPJO,No,0.05,Primary,No,No
phn,1536,J Urol,5.157,2005,Israel,24.0,24.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.05,Primary,No,No
phn,1175,NEJM,79.258,2009,Australia,79.0,252.0,,,,,RCT,Stratified,Yes,Yes,UTI,Yes,0.02,Primary,Yes,Yes
phn,5829,Acta Pediatricia,2.58,2008,Netherlands,2.0,37.0,,,,,Other,NA,No,No,PHN,No,0.004,Primary,No,No
phn,1427,Urology,2.365,2005,Greece,25.0,77.0,,,,,RCT,Simple,No,No,Stones,No,0.027,Primary,No,No
phn,1494,Journal of endourology,2.038,2006,USA,43.0,64.0,,,,,Other,NA,No,No,UPJO,No,0.001,Primary,No,No
phn,5637,J Ped Urol,1.935,2018,USA,10.0,0.0,,,,,Other,NA,No,No,PHN,No,0.0001,Primary,No,No
phn,1372,Urologia Internationalis,1.508,2007,Switzerland,3.0,8.0,,,,,Other,NA,No,No,UPJO,No,0.05,Secondary,No,No
phn,1719,J Urol,5.157,2003,USA,34.0,19.0,,,,,Other,NA,No,No,VUR,No,0.01,Primary,No,No
phn,5838,J Ped Urol,1.935,2008,England,4.0,35.0,,,,,Other,NA,No,No,UPJO,No,0.016,Primary,No,No
